Beckenbauer,93,CB,82,79,69,94,83,81,83,81,80,66,92,89,67,62,75,79,64,76,96,90,94,96,91,82,64,74,92,94,76,86,85,86,63,73,6
Maldini,92,CB,86,67,56,95,74,80,87,85,65,69,91,72,35,62,70,30,65,54,94,91,95,96,94,68,83,26,83,79,31,82,84,84,66,61,4
Baresi,92,CB,76,70,39,94,73,82,77,75,75,84,89,89,39,31,47,42,41,65,95,84,94,96,92,68,58,48,86,83,56,85,91,79,79,54,4
Matthaus,91,CDM,86,77,86,88,86,82,88,84,74,79,87,87,86,81,91,93,77,91,91,77,87,91,90,91,81,90,86,90,72,72,89,75,93,71,17
van Basten,91,ST,83,81,94,34,73,70,81,84,84,71,93,85,94,97,97,85,97,87,45,90,25,22,21,73,74,71,78,62,65,88,62,80,51,78,37
Nesta,90,CB,67,61,32,92,62,76,70,64,38,51,89,78,37,22,48,34,37,42,89,86,94,93,92,55,49,25,80,62,46,84,33,91,88,54,3
Bergkamp,90,CF,83,87,90,26,83,79,85,82,82,88,90,89,93,92,90,82,91,96,21,51,17,32,16,84,76,86,89,81,72,77,81,77,84,87,26
Stoichkov,90,ST,84,87,88,51,85,82,86,83,83,82,84,88,91,89,89,82,92,91,56,78,34,56,47,88,85,85,84,79,89,72,74,84,92,88,20
Luis Figo,90,RW,83,90,81,38,86,75,82,83,83,79,83,91,87,78,81,85,79,83,37,64,27,41,38,86,88,83,88,85,76,66,85,72,73,92,10
van Nistelrooy,90,ST,84,76,89,33,68,76,86,82,74,80,92,77,93,94,89,73,94,90,27,91,16,34,33,75,56,72,74,58,74,75,77,79,68,74,25
Butragueno,90,ST,91,87,88,36,78,65,92,91,86,88,91,85,90,94,84,81,87,85,45,81,21,33,30,83,74,77,83,62,79,81,82,60,51,87,19
Best,90,RW,90,94,89,59,81,68,91,89,90,90,83,93,87,93,86,86,87,85,63,85,57,53,49,84,81,71,82,81,79,77,83,64,56,96,28
Shearer,89,ST,78,76,90,50,77,84,81,75,71,71,85,79,90,92,91,82,90,94,44,92,21,67,55,76,77,86,82,63,81,88,84,85,78,74,34
Giggs,89,LM,90,88,78,41,87,67,91,89,81,78,76,87,82,78,76,76,82,90,47,60,26,43,51,83,92,84,86,88,92,63,84,62,60,92,13
Desailly,89,CB,82,66,51,88,64,88,81,82,61,60,84,73,51,38,73,59,51,55,88,88,90,87,85,72,45,41,72,71,49,83,80,91,92,62,2
