Running with data_sets/originals/fire_data.txt
k = 1, score = 517541.827510
k = 6, score = 236741.875794
k = 11, score = 227485.597905
k = 16, score = 218688.741021
k = 21, score = 213521.116291
k = 26, score = 212178.776051
k = 31, score = 211865.321078
k = 36, score = 213057.544438
k = 41, score = 213674.139219
k = 46, score = 213603.767204
k = 51, score = 212970.183347
k = 56, score = 212586.884489
k = 61, score = 212407.360893
k = 66, score = 212177.728542
k = 71, score = 211429.599140
k = 76, score = 210879.340123
k = 81, score = 210590.312271
k = 86, score = 210218.469030
k = 91, score = 210433.219414
k = 96, score = 209926.161305
k = 101, score = 209936.296594
k = 106, score = 210325.048855
k = 111, score = 210393.905605
k = 116, score = 210801.558106
k = 121, score = 210503.393440
k = 126, score = 210694.401208
k = 131, score = 210787.357271
k = 136, score = 210955.524678
k = 141, score = 211190.460004
k = 146, score = 211401.611496
k = 151, score = 211414.505524
k = 156, score = 211310.545027
k = 161, score = 211249.455907
k = 166, score = 211142.235532
k = 171, score = 211182.375281
k = 176, score = 210898.868844
k = 181, score = 210491.635871
k = 186, score = 210407.836827
k = 191, score = 210443.410999
k = 196, score = 210399.797450
k = 201, score = 210365.054799
k = 206, score = 210396.635612
k = 211, score = 210351.804407
k = 216, score = 210306.281779
k = 221, score = 210265.442226
k = 226, score = 210339.532224
k = 231, score = 210339.449746
k = 236, score = 210361.204633
k = 241, score = 210325.827569
k = 246, score = 210269.641925
k = 251, score = 210381.428644
k = 256, score = 210664.588827
k = 261, score = 210875.825503
k = 266, score = 210830.834964
k = 271, score = 210893.818592
k = 276, score = 211072.722320
k = 281, score = 210866.347495
k = 286, score = 210865.668838
k = 291, score = 210867.437414
k = 296, score = 210858.089686
k = 301, score = 210899.711378
k = 306, score = 210934.235882
k = 311, score = 210884.456744
k = 316, score = 210884.132293
k = 321, score = 210776.515186
k = 326, score = 210771.004757
k = 331, score = 210778.670763
k = 336, score = 210663.336850
k = 341, score = 210451.332832
k = 346, score = 210382.136959
k = 351, score = 210396.263399
k = 356, score = 210586.187534
k = 361, score = 210645.418142
k = 366, score = 210620.234287
k = 371, score = 210628.794798
k = 376, score = 210679.812400
k = 381, score = 210649.281344
k = 386, score = 210649.855535
k = 391, score = 210607.782263
k = 396, score = 210599.279035
k = 401, score = 210572.377335
k = 406, score = 210539.714936
k = 411, score = 210504.739511
k = 416, score = 210460.174721
k = 421, score = 210458.003010
k = 426, score = 210439.631846
k = 431, score = 210422.961632
k = 436, score = 210383.334254
k = 441, score = 210374.924991
k = 446, score = 210362.446408
k = 451, score = 210346.861624
k = 456, score = 210338.362071
k = 461, score = 210308.319786
k = 466, score = 210308.719383
k = 471, score = 210308.719383
k = 476, score = 210308.719383
k = 481, score = 210308.719383
k = 486, score = 210308.719383
k = 491, score = 210308.719383
k = 496, score = 210308.719383
k = 501, score = 210308.719383
k = 506, score = 210308.719383
k = 511, score = 210308.719383
k = 516, score = 210308.719383
k = 521, score = 210308.719383
k = 526, score = 210308.719383
k = 531, score = 210308.719383
k = 536, score = 210308.719383
k = 541, score = 210308.719383
k = 546, score = 210308.719383
k = 551, score = 210308.719383
k = 556, score = 210308.719383
k = 561, score = 210308.719383
k = 566, score = 210308.719383
k = 571, score = 210308.719383
k = 576, score = 210308.719383
k = 581, score = 210308.719383
k = 586, score = 210308.719383
k = 591, score = 210308.719383
k = 596, score = 210308.719383
k = 601, score = 210308.719383
k = 606, score = 210308.719383
k = 611, score = 210308.719383
k = 616, score = 210308.719383
k = 621, score = 210308.719383
k = 626, score = 210308.719383
k = 631, score = 210308.719383
k = 636, score = 210308.719383
k = 641, score = 210308.719383
k = 646, score = 210308.719383
k = 651, score = 210308.719383
k = 656, score = 210308.719383
k = 661, score = 210308.719383
k = 666, score = 210308.719383
k = 671, score = 210308.719383
k = 676, score = 210308.719383
k = 681, score = 210308.719383
k = 686, score = 210308.719383
k = 691, score = 210308.719383
k = 696, score = 210308.719383
k = 701, score = 210308.719383
k = 706, score = 210308.719383
k = 711, score = 210308.719383
k = 716, score = 210308.719383
k = 721, score = 210308.719383
k = 726, score = 210308.719383
k = 731, score = 210308.719383
k = 736, score = 210308.719383
k = 741, score = 210308.719383
